2025-07-04 17:03:54,364 group=GROUP3_EP, sim_name=WAG_EP_R_0, clf=DenseSiteClassifier, acc=0.7923076748847961
2025-07-04 17:03:54,364 group=GROUP3_EP, sim_name=WAG_EP_R_0, clf=LogisticRegressionClassifier, acc=0.79257
2025-07-04 17:03:54,364 group=GROUP3_EP, sim_name=WAG_EP_R_0.5, clf=AACnnClassifier, acc=0.8384615182876587
2025-07-04 17:03:54,364 group=GROUP3_EP, sim_name=WAG_EP_R_0.5, clf=DenseMsaClassifier, acc=0.8512820601463318
2025-07-04 17:03:54,364 group=GROUP3_EP, sim_name=WAG_EP_R_0.5, clf=DenseSiteClassifier, acc=0.800000011920929
2025-07-04 17:03:54,364 group=GROUP3_EP, sim_name=WAG_EP_R_0.5, clf=LogisticRegressionClassifier, acc=0.8145580000000002
2025-07-04 17:03:54,366 group=GROUP3_EP, sim_name=WAG_EP_R_0.5, clf=AACnnClassifier, acc=0.8384615182876587
2025-07-04 17:03:54,366 group=GROUP3_EP, sim_name=WAG_EP_R_0.5, clf=DenseMsaClassifier, acc=0.8512820601463318
2025-07-04 17:03:54,366 group=GROUP3_EP, sim_name=WAG_EP_R_0.5, clf=DenseSiteClassifier, acc=0.800000011920929
2025-07-04 17:03:54,366 group=GROUP3_EP, sim_name=WAG_EP_R_0.5, clf=LogisticRegressionClassifier, acc=0.8145580000000002
2025-07-04 17:03:54,367 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.5, clf=AACnnClassifier, acc=0.8564102649688721
2025-07-04 17:03:54,368 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.5, clf=DenseMsaClassifier, acc=0.8256410360336304
2025-07-04 17:03:54,368 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.5, clf=DenseSiteClassifier, acc=0.8358974456787109
2025-07-04 17:03:54,368 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.5, clf=LogisticRegressionClassifier, acc=0.8028839999999999
2025-07-04 17:03:54,369 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.2, clf=AACnnClassifier, acc=0.8256410360336304
2025-07-04 17:03:54,369 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.2, clf=DenseMsaClassifier, acc=0.8230769038200378
2025-07-04 17:03:54,370 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.2, clf=DenseSiteClassifier, acc=0.7743589878082275
2025-07-04 17:03:54,370 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.2, clf=LogisticRegressionClassifier, acc=0.7838340000000001
2025-07-04 17:03:54,371 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.05, clf=AACnnClassifier, acc=0.8153846263885498
2025-07-04 17:03:54,371 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.05, clf=DenseMsaClassifier, acc=0.7794871926307678
2025-07-04 17:03:54,371 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.05, clf=DenseSiteClassifier, acc=0.8384615182876587
2025-07-04 17:03:54,372 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.05, clf=LogisticRegressionClassifier, acc=0.776972
2025-07-04 17:03:54,373 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.5, clf=AACnnClassifier, acc=0.8564102649688721
2025-07-04 17:03:54,373 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.5, clf=DenseMsaClassifier, acc=0.8256410360336304
2025-07-04 17:03:54,373 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.5, clf=DenseSiteClassifier, acc=0.8358974456787109
2025-07-04 17:03:54,373 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.5, clf=LogisticRegressionClassifier, acc=0.8028839999999999
2025-07-04 17:03:54,373 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.2, clf=AACnnClassifier, acc=0.8256410360336304
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.2, clf=DenseMsaClassifier, acc=0.8230769038200378
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.2, clf=DenseSiteClassifier, acc=0.7743589878082275
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.2, clf=LogisticRegressionClassifier, acc=0.7838340000000001
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.05, clf=AACnnClassifier, acc=0.8153846263885498
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.05, clf=DenseMsaClassifier, acc=0.7794871926307678
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.05, clf=DenseSiteClassifier, acc=0.8384615182876587
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.05, clf=LogisticRegressionClassifier, acc=0.776972
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0, clf=AACnnClassifier, acc=0.8589743375778198
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0, clf=DenseMsaClassifier, acc=0.8307692408561707
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0, clf=DenseSiteClassifier, acc=0.843589723110199
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0, clf=LogisticRegressionClassifier, acc=0.7759760000000001
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.1, clf=AACnnClassifier, acc=0.8384615182876587
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.1, clf=DenseMsaClassifier, acc=0.8410256505012512
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.1, clf=DenseSiteClassifier, acc=0.807692289352417
2025-07-04 17:03:54,374 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.1, clf=LogisticRegressionClassifier, acc=0.7830900000000003
2025-07-04 17:03:54,376 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.1, clf=AACnnClassifier, acc=0.8384615182876587
2025-07-04 17:03:54,376 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.1, clf=DenseMsaClassifier, acc=0.8410256505012512
2025-07-04 17:03:54,376 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.1, clf=DenseSiteClassifier, acc=0.807692289352417
2025-07-04 17:03:54,376 group=GROUP3_EP, sim_name=WAG_EP_DATA2_R_0.1, clf=LogisticRegressionClassifier, acc=0.7830900000000003
2025-07-04 17:03:54,377 group=GROUP1_F, sim_name=WAG_F, clf=AACnnClassifier, acc=0.8487179279327393
2025-07-04 17:03:54,377 group=GROUP1_F, sim_name=WAG_F, clf=DenseMsaClassifier, acc=0.8153846263885498
2025-07-04 17:03:54,377 group=GROUP1_F, sim_name=WAG_F, clf=DenseSiteClassifier, acc=0.8128204941749573
2025-07-04 17:03:54,377 group=GROUP1_F, sim_name=WAG_F, clf=LogisticRegressionClassifier, acc=0.7610980000000002
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.2, clf=AACnnClassifier, acc=0.9384615421295166
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.2, clf=DenseMsaClassifier, acc=0.8487179279327393
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.2, clf=DenseSiteClassifier, acc=0.8666666746139526
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.2, clf=LogisticRegressionClassifier, acc=0.8085239999999998
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.5, clf=AACnnClassifier, acc=0.9871794581413269
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.5, clf=DenseMsaClassifier, acc=0.8333333134651184
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.5, clf=DenseSiteClassifier, acc=0.764102578163147
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.5, clf=LogisticRegressionClassifier, acc=0.7941400000000002
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0, clf=AACnnClassifier, acc=0.8641025424003601
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0, clf=DenseMsaClassifier, acc=0.843589723110199
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0, clf=DenseSiteClassifier, acc=0.8461538553237915
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0, clf=LogisticRegressionClassifier, acc=0.7887719999999997
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.05, clf=AACnnClassifier, acc=0.8307692408561707
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.05, clf=DenseMsaClassifier, acc=0.800000011920929
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.05, clf=DenseSiteClassifier, acc=0.8410256505012512
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.05, clf=LogisticRegressionClassifier, acc=0.782592
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.2, clf=AACnnClassifier, acc=0.9205127954483032
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.2, clf=DenseMsaClassifier, acc=0.8230769038200378
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.2, clf=DenseSiteClassifier, acc=0.8102564215660095
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.2, clf=LogisticRegressionClassifier, acc=0.7923459999999998
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.1, clf=AACnnClassifier, acc=0.8589743375778198
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.1, clf=DenseMsaClassifier, acc=0.8358974456787109
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.1, clf=DenseSiteClassifier, acc=0.8153846263885498
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.1, clf=LogisticRegressionClassifier, acc=0.793362
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.05, clf=AACnnClassifier, acc=0.8410256505012512
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.05, clf=DenseMsaClassifier, acc=0.8256410360336304
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.05, clf=DenseSiteClassifier, acc=0.8102564215660095
2025-07-04 17:03:54,378 group=GROUP1_F, sim_name=WAG_F_P_E_0.05, clf=LogisticRegressionClassifier, acc=0.7905659999999998
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.5, clf=AACnnClassifier, acc=0.9897435903549194
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.5, clf=DenseMsaClassifier, acc=0.8641025424003601
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.5, clf=DenseSiteClassifier, acc=0.8615384697914124
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.5, clf=LogisticRegressionClassifier, acc=0.8229859999999998
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.1, clf=AACnnClassifier, acc=0.8615384697914124
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.1, clf=DenseMsaClassifier, acc=0.8230769038200378
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.1, clf=DenseSiteClassifier, acc=0.8333333134651184
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_P_DATA2_E_0.1, clf=LogisticRegressionClassifier, acc=0.793794
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_EP_DATA2, clf=AACnnClassifier, acc=0.8641025424003601
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_EP_DATA2, clf=DenseMsaClassifier, acc=0.8410256505012512
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_EP_DATA2, clf=DenseSiteClassifier, acc=0.8384615182876587
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_EP_DATA2, clf=LogisticRegressionClassifier, acc=0.7864519999999999
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_EP, clf=AACnnClassifier, acc=0.8512820601463318
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_EP, clf=DenseMsaClassifier, acc=0.8333333134651184
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_EP, clf=DenseSiteClassifier, acc=0.7589743733406067
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_EP, clf=LogisticRegressionClassifier, acc=0.787438
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_P_E_0, clf=AACnnClassifier, acc=0.8487179279327393
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_P_E_0, clf=DenseMsaClassifier, acc=0.8205128312110901
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_P_E_0, clf=DenseSiteClassifier, acc=0.8205128312110901
2025-07-04 17:03:54,379 group=GROUP1_F, sim_name=WAG_F_P_E_0, clf=LogisticRegressionClassifier, acc=0.7920820000000001
2025-07-04 17:03:54,381 group=GROUP1_F, sim_name=JTT92_F, clf=AACnnClassifier, acc=0.8153846263885498
2025-07-04 17:03:54,381 group=GROUP1_F, sim_name=JTT92_F, clf=DenseMsaClassifier, acc=0.843589723110199
2025-07-04 17:03:54,381 group=GROUP1_F, sim_name=JTT92_F, clf=DenseSiteClassifier, acc=0.7846153974533081
2025-07-04 17:03:54,381 group=GROUP1_F, sim_name=JTT92_F, clf=LogisticRegressionClassifier, acc=0.7585779999999999
2025-07-04 17:03:54,383 group=GROUP1_F, sim_name=DSO78_F, clf=AACnnClassifier, acc=0.8102564215660095
2025-07-04 17:03:54,383 group=GROUP1_F, sim_name=DSO78_F, clf=DenseMsaClassifier, acc=0.8128204941749573
2025-07-04 17:03:54,383 group=GROUP1_F, sim_name=DSO78_F, clf=DenseSiteClassifier, acc=0.7615384459495544
2025-07-04 17:03:54,383 group=GROUP1_F, sim_name=DSO78_F, clf=LogisticRegressionClassifier, acc=0.7575899999999998
2025-07-04 17:03:54,385 group=GROUP1_F, sim_name=LG08_F, clf=AACnnClassifier, acc=0.843589723110199
2025-07-04 17:03:54,385 group=GROUP1_F, sim_name=LG08_F, clf=DenseMsaClassifier, acc=0.8128204941749573
2025-07-04 17:03:54,385 group=GROUP1_F, sim_name=LG08_F, clf=DenseSiteClassifier, acc=0.7692307829856873
2025-07-04 17:03:54,385 group=GROUP1_F, sim_name=LG08_F, clf=LogisticRegressionClassifier, acc=0.7614039999999999
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F, clf=AACnnClassifier, acc=0.8487179279327393
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F, clf=DenseMsaClassifier, acc=0.8153846263885498
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F, clf=DenseSiteClassifier, acc=0.8128204941749573
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F, clf=LogisticRegressionClassifier, acc=0.7610980000000002
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.2, clf=AACnnClassifier, acc=0.9384615421295166
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.2, clf=DenseMsaClassifier, acc=0.8487179279327393
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.2, clf=DenseSiteClassifier, acc=0.8666666746139526
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.2, clf=LogisticRegressionClassifier, acc=0.8085239999999998
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F_P_E_0.5, clf=AACnnClassifier, acc=0.9871794581413269
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F_P_E_0.5, clf=DenseMsaClassifier, acc=0.8333333134651184
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F_P_E_0.5, clf=DenseSiteClassifier, acc=0.764102578163147
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F_P_E_0.5, clf=LogisticRegressionClassifier, acc=0.7941400000000002
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0, clf=AACnnClassifier, acc=0.8641025424003601
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0, clf=DenseMsaClassifier, acc=0.843589723110199
2025-07-04 17:04:19,879 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0, clf=DenseSiteClassifier, acc=0.8461538553237915
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0, clf=LogisticRegressionClassifier, acc=0.7887719999999997
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.05, clf=AACnnClassifier, acc=0.8307692408561707
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.05, clf=DenseMsaClassifier, acc=0.800000011920929
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.05, clf=DenseSiteClassifier, acc=0.8410256505012512
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.05, clf=LogisticRegressionClassifier, acc=0.782592
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_E_0.2, clf=AACnnClassifier, acc=0.9205127954483032
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_E_0.2, clf=DenseMsaClassifier, acc=0.8230769038200378
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_E_0.2, clf=DenseSiteClassifier, acc=0.8102564215660095
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_E_0.2, clf=LogisticRegressionClassifier, acc=0.7923459999999998
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_E_0.1, clf=AACnnClassifier, acc=0.8589743375778198
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_E_0.1, clf=DenseMsaClassifier, acc=0.8358974456787109
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_E_0.1, clf=DenseSiteClassifier, acc=0.8153846263885498
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_E_0.1, clf=LogisticRegressionClassifier, acc=0.793362
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_E_0.05, clf=AACnnClassifier, acc=0.8410256505012512
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_E_0.05, clf=DenseMsaClassifier, acc=0.8256410360336304
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_E_0.05, clf=DenseSiteClassifier, acc=0.8102564215660095
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_E_0.05, clf=LogisticRegressionClassifier, acc=0.7905659999999998
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.5, clf=AACnnClassifier, acc=0.9897435903549194
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.5, clf=DenseMsaClassifier, acc=0.8641025424003601
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.5, clf=DenseSiteClassifier, acc=0.8615384697914124
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.5, clf=LogisticRegressionClassifier, acc=0.8229859999999998
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.1, clf=AACnnClassifier, acc=0.8615384697914124
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.1, clf=DenseMsaClassifier, acc=0.8230769038200378
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.1, clf=DenseSiteClassifier, acc=0.8333333134651184
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_P_DATA2_E_0.1, clf=LogisticRegressionClassifier, acc=0.793794
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_EP_DATA2, clf=AACnnClassifier, acc=0.8641025424003601
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_EP_DATA2, clf=DenseMsaClassifier, acc=0.8410256505012512
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_EP_DATA2, clf=DenseSiteClassifier, acc=0.8384615182876587
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_EP_DATA2, clf=LogisticRegressionClassifier, acc=0.7864519999999999
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_EP, clf=AACnnClassifier, acc=0.8512820601463318
2025-07-04 17:04:19,880 group=GROUP4, sim_name=WAG_F_EP, clf=DenseMsaClassifier, acc=0.8333333134651184
2025-07-04 17:04:19,881 group=GROUP4, sim_name=WAG_F_EP, clf=DenseSiteClassifier, acc=0.7589743733406067
2025-07-04 17:04:19,881 group=GROUP4, sim_name=WAG_F_EP, clf=LogisticRegressionClassifier, acc=0.787438
2025-07-04 17:04:19,881 group=GROUP4, sim_name=WAG_F_P_E_0, clf=AACnnClassifier, acc=0.8487179279327393
2025-07-04 17:04:19,881 group=GROUP4, sim_name=WAG_F_P_E_0, clf=DenseMsaClassifier, acc=0.8205128312110901
2025-07-04 17:04:19,881 group=GROUP4, sim_name=WAG_F_P_E_0, clf=DenseSiteClassifier, acc=0.8205128312110901
2025-07-04 17:04:19,881 group=GROUP4, sim_name=WAG_F_P_E_0, clf=LogisticRegressionClassifier, acc=0.7920820000000001
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.1, clf=AACnnClassifier, acc=0.8512820601463318
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.1, clf=DenseMsaClassifier, acc=0.8282051086425781
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.1, clf=DenseSiteClassifier, acc=0.8025640845298767
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.1, clf=LogisticRegressionClassifier, acc=0.793364
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.05, clf=AACnnClassifier, acc=0.8666666746139526
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.05, clf=DenseMsaClassifier, acc=0.8461538553237915
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.05, clf=DenseSiteClassifier, acc=0.7923076748847961
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.05, clf=LogisticRegressionClassifier, acc=0.7986939999999998
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.2, clf=AACnnClassifier, acc=0.8384615182876587
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.2, clf=DenseMsaClassifier, acc=0.8256410360336304
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.2, clf=DenseSiteClassifier, acc=0.8128204941749573
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.2, clf=LogisticRegressionClassifier, acc=0.797154
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0, clf=AACnnClassifier, acc=0.8512820601463318
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0, clf=DenseMsaClassifier, acc=0.8487179279327393
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0, clf=DenseSiteClassifier, acc=0.7923076748847961
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0, clf=LogisticRegressionClassifier, acc=0.79257
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.5, clf=AACnnClassifier, acc=0.8384615182876587
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.5, clf=DenseMsaClassifier, acc=0.8512820601463318
2025-07-04 17:04:19,883 group=GROUP4, sim_name=WAG_EP_R_0.5, clf=DenseSiteClassifier, acc=0.800000011920929
2025-07-04 17:04:19,884 group=GROUP4, sim_name=WAG_EP_R_0.5, clf=LogisticRegressionClassifier, acc=0.8145580000000002
2025-07-04 17:04:19,886 group=GROUP4, sim_name=WAG_F_EP_DATA2, clf=AACnnClassifier, acc=0.8641025424003601
2025-07-04 17:04:19,886 group=GROUP4, sim_name=WAG_F_EP_DATA2, clf=DenseMsaClassifier, acc=0.8410256505012512
2025-07-04 17:04:19,886 group=GROUP4, sim_name=WAG_F_EP_DATA2, clf=DenseSiteClassifier, acc=0.8384615182876587
2025-07-04 17:04:19,886 group=GROUP4, sim_name=WAG_F_EP_DATA2, clf=LogisticRegressionClassifier, acc=0.7864519999999999
2025-07-04 17:04:19,886 group=GROUP4, sim_name=WAG_F_EP, clf=AACnnClassifier, acc=0.8512820601463318
2025-07-04 17:04:19,886 group=GROUP4, sim_name=WAG_F_EP, clf=DenseMsaClassifier, acc=0.8333333134651184
2025-07-04 17:04:19,886 group=GROUP4, sim_name=WAG_F_EP, clf=DenseSiteClassifier, acc=0.7589743733406067
2025-07-04 17:04:19,886 group=GROUP4, sim_name=WAG_F_EP, clf=LogisticRegressionClassifier, acc=0.787438
2025-07-04 17:04:19,888 group=GROUP4, sim_name=WAG_F_P_E_0.5, clf=AACnnClassifier, acc=0.9871794581413269
2025-07-04 17:04:19,888 group=GROUP4, sim_name=WAG_F_P_E_0.5, clf=DenseMsaClassifier, acc=0.8333333134651184
2025-07-04 17:04:19,888 group=GROUP4, sim_name=WAG_F_P_E_0.5, clf=DenseSiteClassifier, acc=0.764102578163147
2025-07-04 17:04:19,888 group=GROUP4, sim_name=WAG_F_P_E_0.5, clf=LogisticRegressionClassifier, acc=0.7941400000000002
2025-07-04 17:04:19,888 group=GROUP4, sim_name=WAG_F_P_E_0.2, clf=AACnnClassifier, acc=0.9205127954483032
2025-07-04 17:04:19,888 group=GROUP4, sim_name=WAG_F_P_E_0.2, clf=DenseMsaClassifier, acc=0.8230769038200378
2025-07-04 17:04:19,888 group=GROUP4, sim_name=WAG_F_P_E_0.2, clf=DenseSiteClassifier, acc=0.8102564215660095
2025-07-04 17:04:19,888 group=GROUP4, sim_name=WAG_F_P_E_0.2, clf=LogisticRegressionClassifier, acc=0.7923459999999998
2025-07-04 17:04:19,888 group=GROUP4, sim_name=WAG_F_P_E_0.1, clf=AACnnClassifier, acc=0.8589743375778198
2025-07-04 17:04:19,888 group=GROUP4, sim_name=WAG_F_P_E_0.1, clf=DenseMsaClassifier, acc=0.8358974456787109
2025-07-04 17:04:19,888 group=GROUP4, sim_name=WAG_F_P_E_0.1, clf=DenseSiteClassifier, acc=0.8153846263885498
